Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene
GCF_018584435.1	ASM1858443v1	Genomoviridae sp.	2214	2	2	
GCF_018586915.1	ASM1858691v1	Northern red-backed vole stool-associated gemycircularvirus 110	2214	3	3	
GCF_018584885.1	ASM1858488v1	Finch associated genomovirus 1	2213	2	2	
GCF_003848065.1	ASM384806v1	Lynx canadensis faeces associated genomovirus CL1 71	2211	2	2	
GCF_018584835.1	ASM1858483v1	Finch associated genomovirus 5	2211	2	2	
GCF_018584275.1	ASM1858427v1	Genomoviridae sp.	2209	2	2	
GCF_018584685.1	ASM1858468v1	Genomoviridae sp.	2209	2	2	
GCF_018582925.1	ASM1858292v1	Giant panda anellovirus	2208	3	3	
GCF_018584475.1	ASM1858447v1	Genomoviridae sp.	2208	2	2	
GCF_023124635.1	ASM2312463v1	Northern red-backed vole stool-associated circular virus 16	2207	2	2	
GCF_003848965.1	ASM384896v1	Giant panda associated gemycircularvirus	2206	3	3	
GCF_018584505.1	ASM1858450v1	Genomoviridae sp.	2206	2	2	
GCF_018585365.1	ASM1858536v1	Capybara genomovirus 8	2206	2	2	
GCF_023138145.1	ASM2313814v1	Plasmopara viticola lesion associated ourmia-like virus 41	2206	1	1	
GCF_018584585.1	ASM1858458v1	Genomoviridae sp.	2205	2	2	
GCF_018584065.1	ASM1858406v1	Plant associated genomovirus 9	2204	2	2	
GCF_018591065.1	ASM1859106v1	Oxalis corniculata genomoviridae	2204	2	2	
GCF_018585495.1	ASM1858549v1	Tortoise genomovirus 9	2202	2	2	
GCF_003847925.1	ASM384792v1	Lynx canadensis faeces associated genomovirus CL5 48	2201	2	2	
GCF_004787855.1	ASM478785v1	Torque teno Leptonychotes weddellii virus-1	2201	4	4	
GCF_023122845.1	ASM2312284v1	Circular ssDNA virus sp.	2201	2	2	
GCF_018585505.1	ASM1858550v1	Tortoise genomovirus 10	2200	2	2	
GCF_018582915.1	ASM1858291v1	Giant panda anellovirus	2199	3	3	
GCF_018587225.1	ASM1858722v1	Plant associated genomovirus 29	2199	2	2	
GCF_018585315.1	ASM1858531v1	Capybara genomovirus 2	2198	2	2	
GCF_018591095.1	ASM1859109v1	Artemisia carvifolia genomoviridae	2198	2	2	
GCF_018584415.1	ASM1858441v1	Genomoviridae sp.	2197	2	2	
GCF_003848665.1	ASM384866v1	Tick-associated genomovirus 2	2196	3	3	
GCF_003847565.1	ASM384756v1	Momordica charantia associated gemycircularvirus	2195	2	2	
GCF_018584025.1	ASM1858402v1	Plant associated genomovirus 2	2195	2	2	
GCF_018584495.1	ASM1858449v1	Genomoviridae sp.	2195	2	2	
GCF_018585245.1	ASM1858524v1	Blackfly genomovirus 7	2195	2	2	
GCF_018584655.1	ASM1858465v1	Genomoviridae sp.	2194	2	2	
GCF_023120065.1	ASM2312006v1	Fusarium circinatum mitovirus 2-1	2193	1	1	
GCF_023138565.1	ASM2313856v1	Plasmopara viticola lesion associated ourmia-like virus 78	2193	1	1	
GCF_003848565.1	ASM384856v1	Cattle blood-associated gemycircularvirus	2192	3	3	
GCF_018590995.1	ASM1859099v1	Citrus Tunisia genomovirus 1b	2191	2	2	
GCF_023141935.1	UJSL012	Cressdnaviricota sp.	2191	2	2	
GCF_018584735.1	ASM1858473v1	Genomoviridae sp.	2189	2	2	
GCF_018589205.1	ASM1858920v1	Chicken genomovirus mg7_73	2189	2	2	
GCF_018584705.1	ASM1858470v1	Genomoviridae sp.	2185	2	2	
GCF_018584865.1	ASM1858486v1	Finch associated genomovirus 6	2185	2	2	
GCF_018584035.1	ASM1858403v1	Plant associated genomovirus 4	2184	2	2	
GCF_018584605.1	ASM1858460v1	Genomoviridae sp.	2183	2	2	
GCF_018585355.1	ASM1858535v1	Capybara genomovirus 6	2183	2	2	
GCF_018589245.1	ASM1858924v1	Chicken genomovirus mg8_401	2183	2	2	
GCF_018585235.1	ASM1858523v1	Blackfly genomovirus 5	2182	2	2	
GCF_018584675.1	ASM1858467v1	Genomoviridae sp.	2181	2	2	
GCF_018585225.1	ASM1858522v1	Blackfly genomovirus 4	2181	2	2	
GCF_029885635.1	ASM2988563v1	Sonfela circovirus 1	2181	2	2	
GCF_003656345.1	ASM365634v1	Genomoviridae sp.	2180	3	3	
GCF_018584575.1	ASM1858457v1	Genomoviridae sp.	2179	2	2	
GCF_018591135.1	ASM1859113v1	Genomoviridae sp.	2178	2	2	
GCF_003846465.1	ASM384646v1	Genomoviridae sp.	2177	4	4	
GCF_018585305.1	ASM1858530v1	Capybara genomovirus 1	2177	2	2	
GCF_018584725.1	ASM1858472v1	Genomoviridae sp.	2176	2	2	
GCF_003847865.1	ASM384786v1	Alces alces faeces associated genomovirus MP84	2175	2	2	
GCF_018591265.1	ASM1859126v1	Genomoviridae sp.	2175	2	2	
GCF_003846485.1	ASM384648v1	Genomoviridae sp.	2174	4	4	
GCF_003848765.1	ASM384876v1	Giant panda associated gemycircularvirus	2174	3	3	
GCF_018591295.1	ASM1859129v1	Gemycircularvirus sp.	2174	2	2	
GCF_018584745.1	ASM1858474v1	Genomoviridae sp.	2173	2	2	
GCF_018589115.1	ASM1858911v1	Chicken genomovirus mg4_1218	2173	2	2	
GCF_018584075.1	ASM1858407v1	Plant associated genomovirus 11	2172	2	2	
GCF_018585385.1	ASM1858538v1	Capybara genomovirus 12	2171	2	2	
GCF_018591075.1	ASM1859107v1	Amygdalus persica genomoviridae	2171	2	2	
GCF_018584595.1	ASM1858459v1	Genomoviridae sp.	2170	2	2	
GCF_023138155.1	ASM2313815v1	Plasmopara viticola lesion associated ourmia-like virus 42	2170	1	1	
GCF_018584105.1	ASM1858410v1	Plant associated genomovirus 5	2167	2	2	
GCF_018584555.1	ASM1858455v1	Genomoviridae sp.	2165	2	2	
GCF_003847805.1	ASM384780v1	Alces alces faeces associated genomovirus MP157	2162	2	2	
GCF_003848785.1	ASM384878v1	Giant panda associated gemycircularvirus	2161	3	3	
GCF_018584295.1	ASM1858429v1	Genomoviridae sp.	2161	2	2	
GCF_018584515.1	ASM1858451v1	Genomoviridae sp.	2161	2	2	
GCF_018587205.1	ASM1858720v1	Plant associated genomovirus 25	2161	2	2	
GCF_018584095.1	ASM1858409v1	Plant associated genomovirus 17	2160	2	2	
GCF_018584645.1	ASM1858464v1	Genomoviridae sp.	2160	2	2	
GCF_018589215.1	ASM1858921v1	Chicken genomovirus mg7_78	2160	2	2	
GCF_003847845.1	ASM384784v1	Alces alces faeces associated genomovirus MP111	2159	2	2	
GCF_003848465.1	ASM384846v1	Gemycircularvirus sp.	2157	3	3	
GCF_003848945.1	ASM384894v1	Giant panda associated gemycircularvirus	2156	3	3	
GCF_018591005.1	ASM1859100v1	Citrus Tunisia genomovirus 2	2156	2	2	
GCF_018584615.1	ASM1858461v1	Genomoviridae sp.	2153	2	2	
GCF_018584855.1	ASM1858485v1	Finch associated genomovirus 4	2153	2	2	
GCF_018584335.1	ASM1858433v1	Genomoviridae sp.	2151	2	2	
GCF_023123145.1	ASM2312314v1	Hymenoscyphus fraxineus mitovirus 1	2151	1	1	
GCF_029885645.1	ASM2988564v1	Sonfela circovirus 2	2151	2	2	
GCF_018584135.1	ASM1858413v1	Plant associated genomovirus 24	2150	2	2	
GCF_018584525.1	ASM1858452v1	Genomoviridae sp.	2148	2	2	
GCF_018583765.1	ASM1858376v1	Olive associated gemycircularvirus 1	2145	3	3	
GCF_018589195.1	ASM1858919v1	Chicken genomovirus mg4_1247	2142	2	2	
GCF_003847905.1	ASM384790v1	Alces alces faeces associated genomovirus MP43	2141	2	2	
GCF_003848605.1	ASM384860v1	Gemycircularvirus sp.	2138	2	2	
GCF_018584465.1	ASM1858446v1	Genomoviridae sp.	2138	2	2	
GCF_018584085.1	ASM1858408v1	Plant associated genomovirus 23	2136	2	2	
GCF_018584485.1	ASM1858448v1	Genomoviridae sp.	2136	2	2	
GCF_023138165.1	ASM2313816v1	Plasmopara viticola lesion associated ourmia-like virus 43	2135	1	1	
GCF_018584665.1	ASM1858466v1	Genomoviridae sp.	2133	2	2	
GCF_018585215.1	ASM1858521v1	Blackfly genomovirus 2	2131	2	2	
GCF_018584165.1	ASM1858416v1	Plant associated genomovirus 22	2129	2	2	
GCF_018583515.1	ASM1858351v1	Torque teno Arctocephalus gazella virus 2	2127	3	3	
GCF_003847645.1	ASM384764v1	Bark beetle-associated genomovirus 3	2125	2	2	
GCF_003847625.1	ASM384762v1	Bark beetle-associated genomovirus 4	2122	2	2	
GCF_023124645.1	ASM2312464v1	Northern red-backed vole stool-associated circular virus 116	2122	3	3	
GCF_003848125.1	ASM384812v1	Lynx canadensis faeces associated genomovirus CL1 46	2121	2	2	
GCF_018584875.1	ASM1858487v1	Finch associated genomovirus 8	2121	2	2	
GCF_018584325.1	ASM1858432v1	Genomoviridae sp.	2116	2	2	
GCF_018582905.1	ASM1858290v1	Giant panda anellovirus	2115	3	3	
GCF_023156705.1	ASM2315670v1	Pilchard orthomyxovirus	13975	10	10	
GCF_018582895.1	ASM1858289v1	Giant panda anellovirus	2114	4	4	
GCF_018591085.1	ASM1859108v1	Zizania latifolia genomoviridae	2108	2	2	
GCF_018584145.1	ASM1858414v1	Plant associated genomovirus 21	2107	2	2	
GCF_003847665.1	ASM384766v1	Bark beetle-associated genomovirus 2	2106	2	2	
GCF_003847725.1	ASM384772v1	Lepus americanus faeces associated genomovirus SHP9	2104	2	2	
GCF_023148535.1	ASM2314853v1	Giardia-associated CRESS DNA virus 4	2102	2	2	
GCF_023138575.1	ASM2313857v1	Plasmopara viticola lesion associated ourmia-like virus 79	2101	1	1	
GCF_023141675.1	ASM2314167v1	Botrytis cinerea ourmia-like virus 7	2100	1	1	
GCF_018585335.1	ASM1858533v1	Capybara genomovirus 4	2099	2	2	
GCF_004369385.1	ASM436938v1	Bat circovirus	2097	1	1	
GCF_018582885.1	ASM1858288v1	Giant panda anellovirus	2096	3	3	
GCF_003848745.1	ASM384874v1	Giant panda associated gemycircularvirus	2094	3	3	
GCF_023148445.1	ASM2314844v1	Giardia-associated CRESS DNA virus 1	2093	2	2	
GCF_018595285.1	ASM1859528v1	Perilla mosaic virus	18174	10	10	
GCF_023148495.1	ASM2314849v1	Giardia-associated CRESS DNA virus 2	2092	2	2	
GCF_018584305.1	ASM1858430v1	Genomoviridae sp.	2088	2	2	
GCF_018584545.1	ASM1858454v1	Genomoviridae sp.	2087	2	2	
GCF_023147365.1	ASM2314736v1	Oidiodendron maius ourmia-like virus 1	2087	1	1	
GCF_018587215.1	ASM1858721v1	Plant associated genomovirus 26	2086	2	2	
GCF_023148085.1	ASM2314808v1	Marmot associated feces virus 4	2085	2	2	
GCF_018582875.1	ASM1858287v1	Giant panda anellovirus	2078	4	4	
GCF_029887135.1	ASM2988713v1	Dipodfec virus UA04Rod_4537	2076	2	2	
GCF_023131125.1	ASM2313112v1	Northern red-backed vole stool-associated circular virus 117	2075	2	2	
GCF_003726415.1	ASM372641v1	Rodent stool-associated circular genome virus	2070	1	1	
GCF_003726195.1	ASM372619v1	Rodent stool-associated circular genome virus	2069	1	1	
GCF_003848725.1	ASM384872v1	Giant panda associated gemycircularvirus	2063	3	3	
GCF_018591125.1	ASM1859112v1	Bat circovirus	2063	2	1	
GCF_018585375.1	ASM1858537v1	Capybara genomovirus 10	2054	2	2	
GCF_018589055.1	ASM1858905v1	Ursus americanus circovirus	2054	2	2	
GCF_023156865.1	ASM2315686v1	Chrysanthemum mosaic-associated virus	15916	7	7	
GCF_018582865.1	ASM1858286v1	Giant panda anellovirus	2053	3	3	
GCF_004290775.1	ASM429077v1	Cressdnaviricota sp.	2047	2	2	
GCF_018582715.1	ASM1858271v1	Paguma larvata torque teno virus	2042	3	3	
GCF_018577805.1	ASM1857780v1	Torque teno felis virus-Fc-TTV1	2039	3	3	
GCF_018582705.1	ASM1858270v1	Paguma larvata torque teno virus	2039	3	3	
GCF_018583505.1	ASM1858350v1	Torque teno Arctocephalus gazella virus 1	2028	3	3	
GCF_029887185.1	ASM2988718v1	Army ant associated cyclovirus 1	2024	2	2	
GCF_029885005.1	ASM2988500v1	Werosea cyclovirus	2015	2	2	
GCF_013086135.1	ASM1308613v1	Colletotrichum camelliae filamentous virus 1	12258	9	9	
GCF_018577815.1	ASM1857781v1	Torque teno felis virus-Fc-TTV2	2012	3	3	
GCF_018584785.1	ASM1858478v1	Torque teno ocelot virus	2003	3	3	
GCF_023157055.1	ASM2315705v1	Sinu virus	10833	6	6	
GCF_004290875.1	ASM429087v1	Anelloviridae sp.	1996	3	3	
GCF_023156825.1	ASM2315682v1	Upolu virus	10764	6	6	
GCF_004290255.1	ASM429025v1	Anelloviridae sp.	1973	1	1	
GCF_029885735.1	ASM2988573v1	Bat associated cyclovirus	1971	2	2	
GCF_023131745.1	ASM2313174v1	Chicken virus mg5_2876	1970	2	2	
GCF_023156725.1	ASM2315672v1	Jos virus	10473	6	6	
GCF_029885995.1	ASM2988599v1	Wolvfec circovius	1967	2	2	
GCF_018582855.1	ASM1858285v1	Giant panda anellovirus	1964	3	3	
GCF_023156645.1	ASM2315664v1	Bourbon virus	10560	6	6	
GCF_029886705.1	ASM2988670v1	Bat associated cyclovirus 17	1956	2	2	
GCF_023124625.1	ASM2312462v1	Northern red-backed vole stool-associated circular virus 11	1944	2	2	
GCF_023156685.1	ASM2315668v1	Thailand tick thogotovirus	10388	7	7	
GCF_029886285.1	ASM2988628v1	robinz virus RP_493	1939	2	2	
GCF_023148505.1	ASM2314850v1	Giardia-associated CRESS DNA virus 2	1938	2	2	
GCF_029886315.1	ASM2988631v1	robinz virus RP_620	1930	2	2	
GCF_023148295.1	ASM2314829v1	Entamoeba-associated CRESS DNA virus 1	1922	2	2	
GCF_004290555.1	ASM429055v1	Anelloviridae sp.	1921	1	1	
GCF_029886815.1	ASM2988681v1	Eumops bonariensis associated circovirus 1	1919	2	2	
GCF_029886275.1	ASM2988627v1	robinz virus RP_259	1916	2	2	
GCF_029887235.1	ASM2988723v1	Army ant associated cyclovirus 9	1910	2	2	
GCF_018587155.1	ASM1858715v1	Capybara associated cyclovirus 1	1897	2	2	
GCF_029887275.1	ASM2988727v1	Calfel virus LSF45_cir359	1895	2	2	
GCF_018587605.1	ASM1858760v1	Beaked whale circovirus	1889	2	2	
GCF_029886305.1	ASM2988630v1	robinz virus RP_584	1882	2	2	
GCF_029886365.1	ASM2988636v1	Mongoose-associated circovirus	1879	2	2	
GCF_023148395.1	ASM2314839v1	Entamoeba-associated CRESS DNA virus 4	1876	2	2	
GCF_023156415.1	ASM2315641v1	Rainbow trout orthomyxovirus-1	13527	8	8	
GCF_018583945.1	ASM1858394v1	Gyrovirus 11	1873	3	3	
GCF_004287315.1	ASM428731v1	Anelloviridae sp.	1871	2	2	
GCF_029887245.1	ASM2988724v1	Calfel virus LSF17_cyc102	1860	2	2	
GCF_029884965.1	ASM2988496v1	Werosea circovirus	1853	2	2	
GCF_029886715.1	ASM2988671v1	Tadarida brasiliensis associated cyclovirus 1	1848	2	2	
GCF_029886335.1	ASM2988633v1	robinz virus RP_1170	1846	2	2	
GCF_004289775.1	ASM428977v1	Anelloviridae sp.	1835	3	3	
GCF_004290615.1	ASM429061v1	Anelloviridae sp.	1833	2	2	
GCF_029886325.1	ASM2988632v1	robinz virus RP_736	1829	2	2	
GCF_029885745.1	ASM2988574v1	Bat associated cyclovirus	1822	2	2	
GCF_029886435.1	ASM2988643v1	WigFec circovirus 2	1821	2	2	
GCF_029887085.1	ASM2988708v1	Chifec virus UA13_1800	1812	2	2	
GCF_029887075.1	ASM2988707v1	Chifec virus UA13_1887	1810	2	2	
GCF_029886295.1	ASM2988629v1	robinz virus RP_526	1806	2	2	
GCF_029887145.1	ASM2988714v1	Dipodfec virus UA23Rod_1805	1805	2	2	
GCF_029887065.1	ASM2988706v1	Chifec virus UA13_1880	1803	2	2	
GCF_029887165.1	ASM2988716v1	Army ant associated cyclovirus 6	1803	2	2	
GCF_004290895.1	ASM429089v1	Anelloviridae sp.	1801	1	1	
GCF_029887225.1	ASM2988722v1	Army ant associated cyclovirus 8	1793	2	2	
GCF_029887215.1	ASM2988721v1	Army ant associated cyclovirus 9	1789	2	2	
GCF_023148355.1	ASM2314835v1	Entamoeba-associated CRESS DNA virus 2	1788	2	2	
GCF_029886055.1	ASM2988605v1	Equine circovirus 1	1788	3	3	
GCF_018589645.1	ASM1858964v1	Elk circovirus Banff/2019	1787	2	2	
GCF_029886385.1	ASM2988638v1	Mongoose-associated cyclovirus	1786	2	2	
GCF_029887195.1	ASM2988719v1	Army ant associated cyclovirus 4	1786	2	2	
GCF_004290675.1	ASM429067v1	Anelloviridae sp.	1774	3	3	
GCF_029886375.1	ASM2988637v1	Mongoose-associated cyclovirus	1771	2	2	
GCF_003532615.1	ASM353261v1	Valinorvirus eriador	1768	2	2	
GCF_029887265.1	ASM2988726v1	Calfel virus LSF31_cyc880	1767	2	2	
GCF_029887205.1	ASM2988720v1	Army ant associated cyclovirus 5	1766	2	2	
GCF_029887175.1	ASM2988717v1	Army ant associated cyclovirus 2	1762	2	2	
GCF_029887055.1	ASM2988705v1	Chifec virus UA15_35	1758	2	2	
GCF_029887125.1	ASM2988712v1	Dipodfec virus UA04Rod_5913	1758	2	2	
GCF_024750085.1	ASM2475008v1	Cassava green mottle virus	2679	2	2	
GCF_029887155.1	ASM2988715v1	Army ant associated cyclovirus 3	1745	2	2	
GCF_004286375.1	ASM428637v1	Anelloviridae sp.	1744	1	1	
GCF_002819945.1	ASM281994v1	Dragonfly associated cyclovirus 1	1742	2	2	
GCF_029887045.1	ASM2988704v1	Chifec virus UA13_1817	1741	2	2	
GCF_018587525.1	DFRY	Chinese fire belly newt virus 1	1735	1	1	
GCF_029887035.1	ASM2988703v1	Chifec virus UA13_1727	1728	2	2	
GCF_029886425.1	ASM2988642v1	WigFec circovirus 1	1723	2	2	
GCF_013086125.1	ASM1308612v1	Pistacia emaravirus	18823	8	8	
GCF_029887255.1	ASM2988725v1	Calfel virus LSF31_cyc420	1704	2	2	
GCF_018547875.1	ASM1854787v1	hepatitis D virus 2	1684	2	2	
GCF_003033645.1	ASM303364v1	hepatitis D virus 4	1676	1	1	
GCF_018547865.1	ASM1854786v1	hepatitis D virus 1	1676	2	2	
GCF_018582735.1	ASM1858273v1	Pyricularia oryzae ourmia-like virus 2	1671	1	1	
GCF_018586845.1	ASM1858684v1	Rodent deltavirus	1671	1	1	
GCF_003532585.1	ASM353258v1	Valinorvirus arda	1664	2	1	
GCF_018587535.1	XQTMS	Fish HDV-like virus	1606	1	1	
GCF_018587245.1	ASM1858724v1	Termite HDV-like virus	1591	1	1	
GCF_018587255.1	ToadHDV	Chusan Island toad virus 1	1547	1	1	
GCF_018591115.1	ASM1859111v1	Sorghum mastrevirus associated alphasatellite	1531	1	1	
GCF_018595405.1	ASM1859540v1	Emaravirus camelliae	18379	9	9	
GCF_018580485.1	ASM1858048v1	Tomato leaf curl Togo betasatellite-[Togo:2006]	1399	1	1	
GCF_018580535.1	ASM1858053v1	Tomato leaf curl Togo betasatellite-[Togo:2006]	1396	1	1	
GCF_002987805.1	ASM298780v1	Betasatellite ageracameroonense	1393	1	1	
GCF_002987895.1	ASM298789v1	Tomato leaf curl Bangladesh betasatellite	1383	1	1	
GCF_018580645.1	ASM1858064v1	Sida leaf curl alphasatellite	1376	1	1	
GCF_018583485.1	ASM1858348v1	Tomato leaf curl Bangladesh betasatellite	1376	1	1	
GCF_018577775.1	ASM1857777v1	Tomato leaf curl betasatellite-Panipat 7 [India:Panipat:Papaya:2008]	1375	1	1	
GCF_018590975.1	ASM1859097v1	Cotton leaf curl Gezira alphasatellite 3	1375	1	1	
GCF_002987905.1	ASM298790v1	Tomato leaf curl betasatellite	1374	1	1	
GCF_026222525.1	ASM2622252v1	Tomato leaf curl Pakistan betasatellite	1373	1	1	
GCF_013087115.1	ASM1308711v1	Tomato leaf curl New Delhi alphasatellite	1372	1	1	
GCF_018583345.1	ASM1858334v1	Tomato leaf curl Bangladesh betasatellite	1372	1	1	
GCF_002987995.1	ASM298799v1	Tomato leaf curl betasatellite	1371	1	1	
GCF_013087215.1	ASM1308721v1	Tomato leaf curl alphasatellite	1371	1	1	
GCF_026210835.1	ASM2621083v1	Kenaf leaf curl betasatellite	1371	1	1	
GCF_018589475.1	ASM1858947v1	Papaya leaf curl betasatellite	1370	1	1	
GCF_002830105.1	ASM283010v1	Chayote yellow mosaic Benin betasatellite	1367	1	1	
GCF_003073075.1	ASM307307v1	Cotton leaf curl Gezira alphasatellite	1367	1	1	
GCF_023156615.1	ASM2315661v1	Hadaka virus 1	15334	11	11	
GCF_002987935.1	ASM298793v1	Tomato leaf curl Joydebpur betasatellite	1366	1	1	
GCF_018583915.1	ASM1858391v1	Tomato leaf curl Bangladesh betasatellite	1364	1	1	
GCF_018583365.1	ASM1858336v1	Tomato leaf curl Joydebpur betasatellite	1363	1	1	
GCF_018580225.1	ASM1858022v1	Cotton leaf curl Multan betasatellite	1361	1	1	
GCF_018584265.1	ASM1858426v1	Cotton leaf curl Gezira betasatellite	1360	1	1	
GCF_002830285.1	ASM283028v1	Tomato leaf curl Java betasatellite	1356	1	1	
GCF_003028935.1	ASM302893v1	Tobacco curly shoot alphasatellite	1356	1	1	
GCF_018580885.1	ASM1858088v1	Cotton leaf curl Bangalore betasatellite	1356	1	1	
GCF_018547945.1	ASM1854794v1	Siegesbeckia yellow vein Guangxi virus satellite DNA beta	1355	1	1	
GCF_018577705.1	ASM1857770v1	Ludwigia leaf distortion betasatellite [India:Bahraich:Hibiscus:2006]	1355	1	1	
GCF_018580475.1	ASM1858047v1	Papaya leaf curl betasatellite	1355	1	1	
GCF_018580545.1	ASM1858054v1	Ludwigia leaf distortion betasatellite	1353	1	1	
GCF_018577765.1	ASM1857776v1	Okra leaf curl betasatellite [India:Munthal:EL38:2006]	1352	1	1	
GCF_018580585.1	ASM1858058v1	Tomato leaf curl betasatellite	1352	1	1	
GCF_018583495.1	ASM1858349v1	Cotton leaf curl Bangalore betasatellite	1351	1	1	
GCF_002830045.1	ASM283004v1	Cotton leaf curl Gezira betasatellite	1349	1	1	
GCF_002987865.1	ASM298786v1	Cotton leaf curl Multan betasatellite	1349	1	1	
GCF_026210845.1	ASM2621084v1	Cotton leaf curl betasatellite	1349	1	1	
GCF_002830205.1	ASM283020v1	Rose leaf curl betasatellite	1348	1	1	
GCF_018547885.1	ASM1854788v1	Malvastrum yellow vein betasatellite	1348	1	1	
GCF_018577855.1	ASM1857785v1	Tomato leaf curl betasatellite	1347	1	1	
GCF_018577735.1	ASM1857773v1	Kenaf leaf curl betasatellite	1346	1	1	
GCF_018580305.1	ASM1858030v1	Malvastrum yellow vein betasatellite	1346	1	1	
GCF_018577725.1	ASM1857772v1	Sida yellow vein virus satellite DNA beta	1344	1	1	
GCF_026222515.1	ASM2622251v1	Cotton leaf curl betasatellite	1344	1	1	
GCF_018577715.1	ASM1857771v1	Cotton leaf curl Multan DNA betasatellite - [India:Bahraich 03:Kenaf:2006]	1343	1	1	
GCF_018577745.1	ASM1857774v1	Malvastrum yellow vein Yunnan virus satellite DNA beta	1342	1	1	
GCF_002988005.1	ASM298800v1	Tomato leaf curl China betasatellite	1341	1	1	
GCF_018547815.1	ASM1854781v1	Honeysuckle yellow vein mosaic disease associated satellite DNA beta-[Nara]	1337	1	1	
GCF_018580235.1	ASM1858023v1	Sida yellow vein Vietnam virus satellite DNA beta	1333	1	1	
GCF_018577825.1	ASM1857782v1	Siegesbeckia yellow vein virus-associated DNA beta	1331	1	1	
GCF_018577875.1	ASM1857787v1	Tobacco leaf chlorosis betasatellite	1319	1	1	
GCF_018594965.1	ASM1859496v1	Fusarium graminearum gemytripvirus 1	3945	3	3	
GCF_018588995.1	Papaya metagenomics	Begomovirus-associated alphasatellite sp.	1293	1	1	
GCF_013087395.1	ASM1308739v1	Begomovirus-associated alphasatellite sp.	1130	1	1	
GCF_013087755.1	ASM1308775v1	Cow vetch latent virus alphasatellite	1035	1	1	
GCF_003033965.1	ASM303396v1	Faba bean necrotic yellows C9 alphasatellite	1004	1	1	
GCF_018591415.1	ASM1859141v1	Subterranean clover stunt virus	7989	8	8	
GCF_018587575.1	ASM1858757v1	Milk vetch dwarf C1 alphasatellite	991	1	1	
GCF_014621545.1	ASM1462154v1	Monkeypox virus	197209	179	179	
GCF_006449675.1	ASM644967v1	Horsepox virus	212633	185	185	
GCF_020684995.1	ASM2068499v1	Microbacterium phage Pumpernickel	186095	353	312	
GCF_022818225.1	ASM2281822v1	Bacillus phage FADO	164756	222	222	
GCF_008946265.1	ASM894626v1	Streptomyces phage Gilgamesh	129136	156	156	
GCF_014514555.1	ASM1451455v1	Pseudomonas phage phiPsa267	100180	187	176	
GCF_014514655.1	ASM1451465v1	Pseudomonas phage phiPsa347	99689	186	174	
GCF_020535835.1	ASM2053583v1	Pseudomonas phage PE09	99455	198	179	
GCF_014514585.1	ASM1451458v1	Pseudomonas phage phiPsa300	99272	183	171	
GCF_016836345.1	ASM1683634v1	Pseudomonas phage PN09	99229	186	177	
GCF_014514725.1	ASM1451472v1	Pseudomonas phage phiPsa397	98951	182	173	
GCF_014514695.1	ASM1451469v1	Pseudomonas phage phiPsa381	98800	184	173	
GCF_014514595.1	ASM1451459v1	Pseudomonas phage phiPsa315	98739	182	172	
GCF_020491615.1	ASM2049161v1	Pseudomonas phage M5.1	98536	193	174	
GCF_020484105.1	ASM2048410v1	Pseudomonas phage psageK4	98440	197	179	4
GCF_022984305.1	ASM2298430v1	Pseudomonas phage Kremar	97636	190	173	
GCF_003029625.1	ASM302962v1	Pseudomonas phage PPSC2	97330	188	168	
GCF_020488325.1	ASM2048832v1	Pseudomonas phage PHB09	94844	185	185	
GCF_023324365.1	ASM2332436v1	Pseudomonas phage EM	94775	210	193	2
GCF_004146485.1	ASM414648v2	Pseudomonas phage PaZq-1	94315	169	169	
GCF_020489785.1	ASM2048978v1	Pseudomonas phage psageK4e	94020	199	185	
GCF_004146445.1	ASM414644v2	Pseudomonas phage PaGz-1	93975	175	175	
GCF_029536265.1	ASM2953626v1	Pseudomonas phage SPA05	93656	190	175	
GCF_015918555.1	ASM1591855v1	Streptomyces phage TurkishDelight	93606	125	125	
GCF_029618155.1	ASM2961815v1	Pseudomonas phage SPA01	93536	183	168	
GCF_002743715.1	ASM274371v1	Pseudomonas phage YS35	93296	186	172	
GCF_027886415.1	ASM2788641v1	Pseudomonas phage pPA-3099-2aT.2	93031	210	198	
GCF_028198265.1	ASM2819826v1	Pseudomonas phage vB_PaeS_B8	92835	187	175	
GCF_007998195.1	ASM799819v1	Pseudomonas phage ITTPL	92730	177	177	
GCF_029693645.1	ASM2969364v1	Pseudomonas phage vB_Paer_PsCh	92710	211	197	
GCF_004138875.1	ASM413887v1	Pseudomonas phage Henu5	92558	145	145	
GCF_029693655.1	ASM2969365v1	Pseudomonas phage vB_Paer_PsIn	92515	211	197	1
GCF_018310605.1	ASM1831060v1	Pseudomonas phage vB_PA45_GUMS	92467	181	175	
GCF_028198255.1	ASM2819825v1	Pseudomonas phage vB_PaeM_B31	92420	185	174	
GCF_021725555.1	ASM2172555v2	Pseudomonas phage PhL_UNISO_PA-DSM_ph0034	92408	205	192	
GCF_021216265.1	ASM2121626v1	Pseudomonas phage phipa10	92393	186	175	
GCF_003865855.1	ASM386585v1	Pseudomonas phage vB_PaeM_LCK69	92319	189	174	
GCF_027885665.1	ASM2788566v1	Pseudomonas phage HJ01	92114	173	173	
GCF_028238575.1	ASM2823857v1	Pseudomonas phage vB_PaeM_B55	91901	186	172	
GCF_023523965.1	ASM2352396v1	Pseudomonas phage vB_Pae_Kat	91700	183	172	
